WINE KIT,count
6 wk itl. pinot grigio res,2
fw tropical fruit nm,2
sauv blanc chm,2
n/s mezza luna red vr,2
n/s piesporter vr,2
itl. amarone res 1/2 oak,2
yakima viognier csc,2
itl. super tuscan pp 19,2
yolo white le19,2
n/s choc rasp apres,2
cal. white zin sel,2
chil. cab sauv vr,2
arg. malbec res 1/2 oak,2
fw pineapple pear im,2
cal. viognier atm,2
chil. petite metamorphosis cl,2
n/s pinot blanc chm,2
aus. cab shiraz merlot atm,2
lodi zinfandel pr,2
cal. merlot sel,2
cal. riesling vr,2
itl. montepulciano sel,2
aus. tram-ries es,2
n/s gewurz vr,2
n/s riesling ice wine ss,2
chil. pinot noir cm,2
pinot noir oth,2
cal. riesling dry sel,2
cal. zin shiraz cm,2
cal. moscato cl 3/4 f pak only,1
cal. enigma res 1/2 f pak,1
fw pomegranate im,1
aus. cab shir mer atm,1
itl. montepulciano fj,1
cal. pinot noir fj,1
fw strawberry im,1
cal. moscato cl 1/2 sweet,1
itl. sangiovese sel,1
cal red zinfandel fj,1
cal. thompson mix fj,1
wash. riesling cl -dry,1
cab sauv chm,1
lodi chardonnay cel,1
s.a. sauv. blanc cm,1
cal. riesling cm,1
aus. pinot noir merlot syrah pp23,1
aust chardonnay reisling atm lr,1
merlot oth,1
itl. granbarile fj,1
itl. amarossa fj,1
cal. sol os,1
pinot noir kc,1
chardonnay oth no oak,1
n/s rosso fortissimo csc,1
n/s chamblaise vr,1
it. granbarile (barolo) fj,1
itl. valroza sel,1
nebbiolo discontinued,1
itl. luna rossa os,1
cal. v.c.d.r. vr,1
nebbiolo discontinued & cancelled,1
cal. shiraz fj,1
itl. super tuscan pp19,1
o.v. zinfandel ec,1
it. montepilciano fj,1
lodi cab sauv ss,1
lodi o. v. zin ec,1
chil. carmenere is,1
spa cab/merlot/garn. cm,1
aus. cab sauv atm,1
fw black cherry lemonade im,1
cal. white zin os,1
pinot noir chai,1
sauv blanc chai,1
nebbiolo kc,1
yakima pinot gris pr,1
cal. riesling sel,1
itl. valpolicella sel,1
cal. cab sauv cel,1
cal. cab merlot leg,1
wash. viognier cel,1
ger. gewurz leg,1
fw peach lemonade,1
fw mojito,1
lodi chardonnay cel oaked,1
arg. malbec sel no skins,1
yakima pinot gris cel,1
fr. cab sauv atm,1
itl. valroza cc,1
n/s pinot blanc vr,1
n/s pinot blanc cc,1
cal. bb zin/cab ec,1
fw bahama mama im,1
lodi o. v. zin. ec,1
wash. gewurz ries cel,1
cal. symph gewurz le18,1
itl. nebbiolo cs rjs,1
fr. gren. mourvedre pp21,1
itl. montepulciano leg,1
itl. primo rosso es,1
fw fruit peach nm,1
itl. valroza or,1
cal. mystic es,1
nebbiolo sel,1
aus. shiraz csc,1
n/s pinot blanc cm,1
spa.tempranillo le,1
lodi chardonnay csc-replacement for ec,1
primo rosso leg,1
chardonnay kc,1
shiraz oth,1
trilogy kc,1
fw rasp dragon fruit im,1
spa tempranillo wv,1
fw black cherry im,1
cal. gewurz sel,1
fw tropical riesling nm,1
fw blackberry nm,1
cal. pinot grigio gewurz le22,1
